"","trdar_cd_nm","long","lat"
"1","백석동길",37.592999,126.965773
"2","한천로46길",37.5704795,127.0646198
"3","숭인동길",37.577171,127.022024
"4","옥인길",37.581492,126.965683
"5","율곡로10길",37.5759,126.99815
"6","창신5길",37.571675,127.011287
"7","창신길",37.571675,127.011287
"8","동호로11길",37.554749,127.01066
"9","동호로15길",37.554749,127.01066
"10","서빙고로71길",37.523281,126.995798
"11","소월로20길",37.55786287,126.9756284
"12","신흥로20길",37.546382,126.984901
"13","통일로12길",37.565065,126.965662
"14","이태원로54길",37.534538,126.995571
"15","장문로45길",37.52745968,126.9953845
"16","동호로20길",37.554749,127.01066
"17","한강대로88길",37.534953,126.973142
"18","한남대로20길",37.538188,127.004339
"19","성수일로6길",37.53684035,127.0541395
"20","송정12라길",37.550958,127.068041
"21","송정4가길",37.550958,127.068041
"22","청파로47길",37.538811,126.961706
"23","용답중앙길",37.563744,127.052805
"24","장터길",37.548354,127.018706
"25","회나무로13길",37.53885481,126.9882756
"26","청계천로10나길",37.570231,127.036929
"27","율곡로16길",37.5759,126.99815
"28","이화장길",37.57722,127.004468
"29","평창길",37.608705,126.973004
"30","필운대로1길",37.581461,126.968471
"31","동호로8길",37.554749,127.01066
"32","명동길",37.563822,126.98503
"33","자하문로7길",37.5767128,126.9722056
"34","우사단로10길",37.53115223,126.9967963
"35","우사단로14길",37.53115223,126.9967963
"36","난계로11길",37.566397,127.022129
"37","청파로47나길",37.538811,126.961706
"38","청파로71길",37.538811,126.961706
"39","삼일대로4길",37.575079,126.986873
"40","효창원로39길",37.53549743,126.953606
"41","후암로28길",37.54852081,126.9780025
"42","우사단로4길",37.53115223,126.9967963
"43","아차산로11길",37.545035,127.104117
"44","아차산로15길",37.545035,127.104117
"45","청파로73길",37.538811,126.961706
"46","한림말3길",37.542353,127.015849
"47","한림말길",37.542353,127.015849
"48","고산자로6길",37.557521,127.035104
"49","아차산로5길",37.545035,127.104117
"50","광나루로12길",37.54715,127.067735
"51","종로24길",37.57103,127.001791
"52","종로58가길",37.57103,127.001791
"53","난계로21길",37.566397,127.022129
"54","다산로33길",37.562451,127.014904
"55","장충단로8길",37.562302,127.008345
"56","청구로17길",37.560127,127.013705
"57","종로65길",37.57103,127.001791
"58","원효로19길",37.532873,126.951391
"59","원효로41길",37.532873,126.951391
"60","다산로36길",37.562451,127.014904
"61","한강대로104길",37.534953,126.973142
