"","trdar_cd_nm","lon","lat"
"1","가로공원로58길",126.8248273,37.5324797
"17","가로공원로76가길",126.8422665,37.5341837
"33","가로공원로80길",126.8397284,37.5353861
"49","가마산로61길",126.904664,37.5064668
"65","가산로3길",126.8914582,37.4721072
"81","가산로5길",126.8918356,37.473557
"97","가재울로6길",126.9232664,37.5763016
"113","가좌로7길",126.9193356,37.586362
"129","갈현로1길",126.908582,37.599575
"145","갈현로33길",126.9132712,37.6216341
"161","갈현로41길",126.9146049,37.6252706
"177","갈현로7길",126.9084764,37.6039169
"193","강남대로118길",127.0264178,37.5069599
"209","강남대로136길",127.023287,37.5136649
"225","강남대로140길",127.023046,37.5143601
"241","강남대로23길",127.0364837,37.4753948
"257","강남대로34길",127.0385929,37.483513
"273","강남대로8길",127.0427968,37.4691025
"289","강동대로53길",127.132187,37.525296
"305","강서로15길",126.8411845,37.5319236
"321","강서로17가길",126.8439933,37.5342486
"337","강서로18길",126.8497117,37.5345347
"353","강서로29길",126.8388639,37.5386981
"369","강서로35길",126.8361551,37.5426084
"385","강서로45길",126.8318818,37.5493311
"401","강서로45다길",126.8346037,37.5453003
"417","강서로47길",126.8324547,37.5528485
"433","강서로47라길",126.8325036,37.5516266
"449","강서로5가길",126.8459484,37.529002
"465","강서로5나길",126.8432118,37.5284251
"481","강서로5라길",126.8546806,37.5299224
"497","강서로8길",126.854067,37.5303471
"513","개봉로11길",126.8534866,37.4880546
"529","개봉로17길",126.8531725,37.491798
"545","개봉로17다길",126.8528651,37.4937545
"561","개봉로1길",126.8524601,37.4835476
"577","개봉로20길",126.8585243,37.4928382
"593","개봉로23가길",126.8591417,37.495045
"609","개봉로2길",126.8592013,37.4886029
"625","개봉로3길",126.8521252,37.4855486
"641","개운사길",127.02927,37.5881084
"657","개포로17길",127.0462794,37.4796417
"673","개포로20길",127.0481962,37.4770533
"689","개포로28길",127.0501379,37.4777803
"705","개포로82길",127.0679765,37.4887738
"721","개화동로23길",126.8086469,37.5661523
"737","개화동로25길",126.8087572,37.5655031
"753","거마로20길",127.1494543,37.4969896
"769","겸재로29길",127.0858042,37.5901794
"785","겸재로36길",127.085775,37.5863872
"801","겸재로54길",127.0917649,37.5862098
"817","경인로15길",126.8377266,37.4962245
"833","경인로31길",126.8502498,37.4997148
"849","경인로35길",126.8530714,37.500545
"865","경인로47길",126.8650633,37.502084
"881","경인로77길",126.8917291,37.5131708
"897","경인로80길",126.8958567,37.5117485
"913","경인로90길",126.9010869,37.5136747
"929","경희대로3길",127.0508422,37.5934681
"945","경희대로4길",127.0551428,37.5916824
"961","계동길",126.9867284,37.5809421
"977","고덕로10길",127.1298786,37.5527856
"993","고덕로25길",127.1365194,37.5555234
"1009","고덕로61길",127.1524482,37.5580119
"1025","고무래로8길",127.0100181,37.5036234
"1041","고산자로6길",127.0352218,37.5573714
"1057","고척로21나길",126.8427736,37.5026411
"1073","고척로27길",126.8459784,37.5050297
"1089","고척로27다길",126.8485856,37.5056137
"1105","고척로52길",126.8559195,37.502174
"1121","곰달래로10길",126.8375334,37.527874
"1137","곰달래로25길",126.8485417,37.532258
"1153","곰달래로2길",126.8345101,37.5281216
"1169","곰달래로31길",126.851339,37.5331138
"1185","곰달래로3길",126.832854,37.5316461
"1201","곰달래로47길",126.8559932,37.5340046
"1217","곰달래로53길",126.8575182,37.5349296
"1233","곰달래로5길",126.83168,37.5338522
"1249","곰달래로60길",126.8631051,37.5310029
"1265","공릉로12가길",127.0819442,37.6172518
"1281","공릉로2길",127.0779894,37.6109923
"1297","공릉로58길",127.0734024,37.6351591
"1313","공원로6가길",126.8905398,37.5029877
"1329","공항대로38길",126.8423541,37.5570656
"1345","공항대로42길",126.8432682,37.5561094
"1361","공항대로55길",126.8610208,37.5545469
"1377","공항대로59길",126.8635009,37.5539967
"1393","공항대로59다길",126.8699096,37.5509356
"1409","공항대로61길",126.8662594,37.5523314
"1425","공항대로8길",126.8125134,37.5587399
"1441","관악로10길",126.9551208,37.4768029
"1457","관악로14길",126.9551924,37.4784883
"1473","관악로28길",126.9583546,37.4846601
"1489","관악로30길",126.9596407,37.4857764
"1505","관천로15길",126.9187763,37.4862371
"1521","관천로22길",126.9248176,37.4885998
"1537","광나루로12길",127.0677893,37.5471503
"1553","광나루로24길",127.0776739,37.5451489
"1569","광나루로36길",127.0865597,37.5434584
"1585","광나루로37길",127.0884233,37.5459531
"1601","광나루로40길",127.0890568,37.5429819
"1617","광나루로52길",127.0927177,37.5402039
"1633","광성로6길",126.939555,37.5478241
"1649","구로동로15길",126.8866342,37.482976
"1665","구로동로28길",126.887632,37.4917548
"1681","구로동로38길",126.8835685,37.494916
"1697","구로동로41길",126.8812639,37.4943588
"1713","구로동로42길",126.8836958,37.4978521
"1729","구로동로7길",126.883461,37.4859597
"1745","구로동로8길",126.8869466,37.4877428
"1761","구로중앙로19길",126.8882967,37.4938811
"1777","구로중앙로28길",126.8872629,37.4995852
"1793","구로중앙로34길",126.8854768,37.5011055
"1809","구로중앙로42길",126.8775021,37.5099305
"1825","구로중앙로7길",126.8907183,37.4909859
"1841","구로중앙로8길",126.8929822,37.4925765
"1857","구암길",126.9475207,37.4900694
"1873","구천면로36길",127.132728,37.5428797
"1889","구천면로41길",127.1320412,37.546523
"1905","구천면로42길",127.1365113,37.5449113
"1921","국사봉1길",126.9324856,37.4964211
"1937","국사봉2길",126.9286879,37.4974845
"1953","국사봉길",126.9316267,37.4962729
"1969","국회단지길",126.9412352,37.488767
"1985","국회대로56길",126.9103351,37.522696
"2001","국회대로7길",126.8551401,37.5295406
"2017","금하로14길",126.9038145,37.4518093
"2033","금하로1길",126.8910694,37.45353
"2049","금하로24길",126.9087504,37.4484721
"2065","금호산2길",127.0232541,37.5486328
"2081","금호산길",127.0193581,37.5508028
"2097","긴고랑로20길",127.0828201,37.5593033
"2113","긴고랑로7길",127.0802683,37.5654878
"2129","긴고랑로8길",127.0783259,37.561912
"2145","긴고랑로9길",127.0815044,37.5649509
"2161","길음로7길",127.0226004,37.6036883
"2177","까치산로4길",126.8457053,37.5397
"2193","낙성대역길",126.9633343,37.4749214
"2209","난계로11길",127.0222895,37.5665867
"2225","난계로21길",127.0216664,37.570083
"2241","난계로27길",127.0208344,37.5729076
"2257","난계로30길",127.0254865,37.5734748
"2273","난곡로24길",126.921631,37.468291
"2289","난곡로26길",126.9233044,37.4699559
"2305","난곡로34길",126.9208969,37.472252
"2321","난곡로74길",126.9168364,37.4863431
"2337","난우길",126.9177036,37.4760578
"2353","난향길",126.916301,37.4629311
"2369","남부순환로112길",126.8937309,37.4772941
"2385","남부순환로11길",126.81476,37.5557435
"2401","남부순환로142길",126.9123123,37.4790127
"2417","남부순환로151길",126.9163862,37.4834482
"2433","남부순환로161길",126.9200172,37.4844159
"2449","남부순환로172길",126.923476,37.482695
"2465","남부순환로234길",126.9565368,37.477174
"2481","남부순환로248길",126.9659311,37.4736656
"2497","남부순환로317길",127.0105062,37.4814732
"2513","남부순환로325길",127.0144183,37.4816084
"2529","남부순환로339길",127.0219325,37.4851507
"2545","남부순환로33길",126.8309939,37.5382535
"2561","남부순환로365길",127.0398099,37.4875841
"2577","남부순환로40길",126.8259497,37.5332835
"2593","남부순환로58길",126.8308772,37.5298965
"2609","남부순환로70길",126.8352166,37.521906
"2625","남부순환로79길",126.842573,37.5177882
"2641","남부순환로88길",126.8407678,37.5114184
"2657","남부순환로97길",126.8589972,37.4939194
"2673","남현2길",126.9748151,37.4753416
"2689","남현3길",126.9785378,37.47497
"2705","남현길",126.9758399,37.4738572
"2721","노량진로6길",126.9361213,37.5109252
"2737","노해로17길",127.0201303,37.6404746
"2753","노해로23길",127.0203077,37.6457744
"2769","노해로33길",127.0214865,37.6474177
"2785","노해로60길",127.0337378,37.6488791
"2801","노해로63다길",127.0457618,37.6544893
"2817","녹사평대로11길",126.99317,37.5221978
"2833","녹사평대로26길",126.9931554,37.5313169
"2849","녹사평대로32길",126.9904918,37.5328424
"2865","녹사평대로40나길",126.988913,37.5364348
"2881","녹사평대로46길",126.9889937,37.5374041
"2897","논현로106길",127.0370746,37.5065956
"2913","논현로10길",127.0497913,37.4743815
"2929","논현로115길",127.0299422,37.5084525
"2945","논현로123길",127.0293954,37.5110401
"2961","논현로139길",127.0277812,37.5162464
"2977","논현로159길",127.0255777,37.522559
"2993","논현로1길",127.0489506,37.4707065
"3009","논현로26길",127.0454157,37.4833156
"3025","논현로27길",127.0412308,37.4792167
"3041","논현로28길",127.0445245,37.4834909
"3057","논현로63길",127.0379488,37.4921786
"3073","논현로8길",127.0517868,37.4744665
"3089","능동로13길",127.0696518,37.5444143
"3105","능동로19길",127.071806,37.5471414
"3121","능동로34길",127.084026,37.5539409
"3137","능동로3길",127.0649879,37.5339857
"3153","능동로4길",127.0701616,37.5319771
"3169","다산로33길",127.0123033,37.5633821
"3185","다산로36길",127.0184523,37.5608659
"3201","다산로38길",127.0070317,37.5481325
"3217","다산로39길",127.01342,37.5642701
"3233","답십리로23길",127.0507775,37.578608
"3249","답십리로56길",127.05883,37.5696058
"3265","답십리로60길",127.0636324,37.569977
"3281","답십리로63길",127.0688895,37.5755771
"3297","답십리로64길",127.065729,37.5694402
"3313","답십리로68길",127.0678859,37.5689446
"3329","답십리로69길",127.0740178,37.5756875
"3345","답십리로72길",127.0726329,37.5687959
"3361","답십리로75길",127.0809232,37.5743705
"3377","당곡길",126.9285645,37.4905772
"3393","당산로31길",126.894588,37.5270073
"3409","당산로37길",126.8976412,37.5297178
"3425","당산로38길",126.8994452,37.5290259
"3441","당산로46길",126.9046031,37.5332622
"3457","대림로22길",126.9034189,37.4949045
"3473","대림로29길",126.8962836,37.4945265
"3489","대림로31길",126.896017,37.4962399
"3505","대림로34길",126.9006513,37.4997882
"3521","대림로44길",126.8979388,37.5028744
"3537","대림로7길",126.9039882,37.4891019
"3553","대림로8길",126.9059395,37.4915578
