"","lon","lat","address"
"1",126.9867284,37.5809421,"south korea, 서울특별시 종로구 가회동 계동길"
"2",127.0208344,37.5729076,"nangye-ro 27-gil, sungin 2(i)-dong, jongno-gu, seoul, south korea"
"3",126.9903073,37.5749095,"donhwamun-ro 11ga-gil, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"4",126.9945216,37.5891354,"myeongnyun-gil, jongno-gu, seoul, south korea"
"5",126.9670279,37.5953856,"baekseokdong-gil, buam-dong, jongno-gu, seoul, south korea"
"6",126.9838361,37.5831553,"bukchon-ro 11-gil, jongno-gu, seoul, south korea"
"7",126.9836008,37.5795376,"bukchon-ro 5-gil, jongno-gu, seoul, south korea"
"8",126.9823805,37.5830559,"bukchon-ro 5na-gil, samcheong-dong, jongno-gu, seoul, south korea"
"9",126.9806183,37.5828725,"samcheong-ro 5-gil, palpan-dong, jongno-gu, seoul, south korea"
"10",126.9944935,37.5858405,"sungkyunkwan-ro 5-gil, jongno-gu, seoul, south korea"
"11",127.021663,37.5766848,"sungindong-gil, sungin 2(i)-dong, jongno-gu, seoul, south korea"
"12",126.9662052,37.5812744,"ogin-gil, cheongunhyoja-dong, jongno-gu, seoul, south korea"
"13",126.9915784,37.5748384,"yulgok-ro 10-gil, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"14",127.0036386,37.5750303,"yulgok-ro 16-gil, jongno-gu, seoul, south korea"
"15",127.004551,37.5782063,"ihwajang-gil, ihwa-dong, jongno-gu, seoul, south korea"
"16",126.9699973,37.5792054,"jahamun-ro 7-gil, jongno-gu, seoul, south korea"
"17",126.9942111,37.5696847,"jong-ro 24-gil, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"18",127.0172378,37.5727236,"jong-ro 58ga-gil, sungin 2(i)-dong, jongno-gu, seoul, south korea"
"19",127.0199606,37.575677,"jong-ro 65-gil, sungin 2(i)-dong, jongno-gu, seoul, south korea"
"20",127.0162363,37.5759871,"jibong-ro 8-gil, sungin-dong, jongno-gu, seoul, south korea"
"21",127.0024965,37.5877012,"changgyeonggung-ro 35-gil, hyehwa-dong, jongno-gu, seoul, south korea"
"22",127.0099958,37.5728115,"changsin 2-gil, changsin-dong, jongno-gu, seoul, south korea"
"23",127.0123357,37.5744687,"changsin 5-gil, changsin-dong, jongno-gu, seoul, south korea"
"24",127.0103231,37.5751475,"changsin-gil, changsin-dong, jongno-gu, seoul, south korea"
"25",126.9612332,37.5745611,"tongil-ro 12-gil, jongno-gu, seoul, south korea"
"26",126.9704556,37.6105415,"pyeongchang-gil, pyeongchang-dong, jongno-gu, seoul, south korea"
"27",126.9679917,37.5778275,"pirundae-ro 1-gil, jongno-gu, seoul, south korea"
"28",127.0222895,37.5665867,"nangye-ro 11-gil, hwanghak-dong, jung-gu, seoul, south korea"
"29",127.0216664,37.570083,"nangye-ro 21-gil, hwanghak-dong, jung-gu, seoul, south korea"
"30",127.0123033,37.5633821,"dasan-ro 33-gil, sindang-dong, jung-gu, seoul, south korea"
"31",127.0184523,37.5608659,"dasan-ro 36-gil, sindang 6(yuk)-dong, jung-gu, seoul, south korea"
"32",127.0070317,37.5481325,"지하 38 dasan-ro, sindang-dong, jung-gu, seoul, south korea"
