No,add_total,long,lat
2,가마산로61길,37.49306807,128.0036459
3,가산로3길,37.47074393,126.9023775
4,가재울로6길,37.577742,126.921411
6,갈현로1길,37.59810723,126.9098529
8,강동대로53길,37.525915,127.132565
10,개봉로11길,37.48665731,126.8560469
13,개화동로23길,37.564826,126.811432
14,거마로20길,37.497978,127.146458
16,경인로15길,37.49042676,126.822523
17,경희대로3길,37.59199423,127.0521448
20,고무래로8길,37.50365794,127.010028
22,고척로21나길,37.49664186,126.8396842
23,곰달래로10길,37.52965506,126.8338957
24,공릉로12가길,37.61170879,127.0777932
26,공항대로38길,37.56059427,126.8119924
28,관천로15길,37.48137818,126.9286753
33,구천면로36길,37.543091,127.131727
36,금하로14길,37.453508,126.903913
38,긴고랑로20길,37.56339164,127.0786272
39,길음로7길,37.60416485,127.0239905
40,까치산로4길,37.5405025,126.841889
43,난곡로24길,37.46984,126.920033
46,남부순환로112길,37.478376,126.895573
50,노해로17길,37.63705161,127.0226551
52,논현로106길,37.506312,127.035229
53,능동로13길,37.539947,127.070663
57,당산로31길,37.524033,126.896197
58,대림로22길,37.48731117,126.910744
59,대방동27길,37.499998,126.920364
60,대사관로34길,37.53342012,127.0018326
62,대흥로21길,37.556569,126.945771
63,덕릉로40길,37.63404944,127.0180438
65,도당로13가길,37.65959564,127.0343345
67,도봉로109길,37.61872738,127.0288197
68,도산대로15길,37.516375,127.019537
72,독막로22길,37.54823391,126.915792
73,독산로108길,37.485051,126.901454
74,돈화문로11가길,37.56960931,126.9920386
76,동광로12길,37.572668,126.991562
77,동교로17길,37.555957,126.914775
78,동남로20길,37.497241,127.132496
79,동산로10길,37.469672,127.039157
80,동소문로13길,37.5892447,127.0076148
83,동호로10길,37.554749,127.01066
86,등용로14길,37.50531928,126.9371065
88,디지털로27길,37.47410976,126.8705543
90,마방로2길,37.47356367,127.0391419
91,마장로27길,37.561073,127.038804
92,마조로16길,37.56661,127.043836
93,마천로51길,37.50850525,127.1262978
94,마포대로12길,37.53786556,126.9443927
96,만양로14길,37.50587254,126.9473771
97,망우로18가길,37.58782697,127.0558
98,망원로11길,37.55609166,126.8981337
100,면목로17길,37.55569307,127.0754976
103,명일로13길,37.48263347,126.8567884
105,모래내로15길,37.568898,126.914459
106,목동남로4길,37.508972,126.864909
108,무학로16길,37.570827,127.030452
112,반포대로9길,37.48139027,127.0123048
119,백제고분로21길,37.51452063,127.0825549
120,범안로11길,37.466685,126.889516
122,벚꽃로56길,37.48174,126.882639
123,보국문로16길,37.60610409,127.0113755
124,보문로13길,37.57669434,127.0229296
126,봉우재로33길,37.59045435,127.0769625
127,봉은사로109길,37.50511738,127.0255846
130,부일로11길,37.493293,126.831732
131,북아현로4길,37.55782674,126.9564391
134,사가정로13길,37.57832,127.058119
136,사당로16가길,37.49523643,126.9560927
137,사임당로17길,37.494181,127.0152
139,삼각산로28길,37.639097,127.020091
140,삼선교로10길,37.58773416,127.0069084
147,상도로15길,37.503268,126.947891
148,상암로14길,37.55086036,127.1253223
150,상일로5길,37.556303,127.165469
151,새말로18길,37.50198639,126.8831457
155,서오릉로21길,37.60302374,126.9255577
161,성균관로5길,37.58348026,126.9981814
162,성내로5길,37.530568,127.120683
165,성미산로11길,37.55843705,126.9094307
166,성북로8길,37.588701,127.006513
167,성산로4길,37.567442,126.916694
168,성수이로18길,37.53684035,127.0541395
169,성안로3길,37.530281,127.12092
174,소월로20길,37.55786287,126.9756284
175,솔매로41길,37.62540227,127.0169657
176,솔샘로65길,37.61306013,127.0067461
177,송이로23길,37.50324019,127.1168063
180,수색로18길,37.56894404,126.916614
181,수유로12길,37.63192787,127.0185746
186,시흥대로120길,37.469232,126.897909
187,신길로17길,37.499993,126.908824
188,신내로7가길,37.59985853,127.096839
190,신도림로13길,37.508048,126.880394
193,신반포로45길,37.50499136,126.9891638
195,신원로3길,37.483698,126.925344
196,신월로15길,37.520068,126.852659
197,신촌로12길,37.55502,126.936499
198,신흥로20길,37.546382,126.984901
199,아리랑로4길,37.593202,127.017443
201,안암로5길,37.57914465,127.023442
205,양녕로26길,37.48426679,126.9468463
211,양화로11길,37.54879733,126.9101513
214,여의대방로22길,37.49258072,126.9109698
215,역말로9길,37.60570041,126.9113216
217,연희로10길,37.564989,126.929578
218,영동대로112길,37.514337,127.060756
219,영등포로25길,37.52333185,126.8845148
220,영신로9길,37.51537,126.907041
222,오류로8길,37.494248,126.844553
223,오목로23길,37.52757,126.849162
226,올림픽로48길,37.529959,127.120314
227,와우산로29가길,37.54714728,126.9228015
228,왕산로32길,37.579937,127.044836
231,용마산로100길,37.5626168,127.0873197
233,우사단로10길,37.53115223,126.9967963
234,우이천로32길,37.6489,127.025328
235,우장산로6길,37.548917,126.836469
237,원효로19길,37.532873,126.951391
