No,add_total, 경도, 위도 
1,가로공원로58길, 37.533058, 126.824774 
5,가좌로7길, 37.585974, 126.918996 
7,강남대로118길, 37.507146, 127.026463 
9,강서로15길, 37.532104, 126.842198 
11,개운사길, 37.588245, 127.029257 
12,개포로17길, 37.479667, 127.046530 
15,겸재로29길, 37.590097, 127.085492 
18,계동길, 37.579137, 126.986718 
19,고덕로10길, 37.552988, 127.129738 
21,고산자로6길, 37.557521, 127.035104 
25,공원로6가길, 37.503524, 126.889889 
27,관악로10길, 37.477356, 126.955074 
29,광나루로12길, 37.547150, 127.067735 
30,광성로6길, 37.547884, 126.939473 
31,구로동로15길, 37.487803, 126.882060 
32,구암길, 37.491787, 126.946907 
34,국사봉1길, 37.499237, 126.931066 
35,국회단지길, 37.486749, 126.939445 
37,금호산2길, 37.548812, 127.021255 
41,낙성대역길, 37.476386, 126.961649 
42,난계로11길, 37.566397, 127.022129 
44,난우길, 37.473519, 126.918904 
45,난향길, 37.462837, 126.918267 
47,남부순환로88길, 37.511827, 126.840417 
48,남현2길, 37.475893, 126.977365 
49,노량진로6길, 37.513153, 126.935833 
51,녹사평대로11길, 37.522204, 126.993485 
54,다산로33길, 37.562451, 127.014904 
55,답십리로23길, 37.572865, 127.057485 
56,당곡길, 37.490906, 126.928611 
61,대학14길, 37.468536, 126.937675 
64,도곡로37길, 37.496323, 127.052963 
66,도림로112길, 37.502876, 126.900372 
69,도신로15길, 37.508184, 126.904723 
70,도화4길, 37.540629, 126.949044 
71,독립문로8길, 37.569610, 126.961060 
75,돌곶이로14길, 37.611574, 127.056107 
81,동일로100길, 37.654307, 127.060636 
82,동작대로17길, 37.492698, 126.982644 
84,두텁바위로1길, 37.545921, 126.978687 
85,둘레9길, 37.535879, 127.053448 
87,등촌로13길, 37.543685, 126.862296 
89,뚝섬로23길, 37.541450, 127.045675 
95,만리재옛길, 37.548438, 126.957300 
99,매봉길, 37.545097, 127.016080 
101,명동길, 37.563822, 126.985030 
102,명륜길, 37.588741, 126.995117 
104,명지대길, 37.583781, 126.923182 
107,무수막길, 37.550960, 127.023041 
109,문성로5길, 37.479185, 126.926859 
110,미성5길, 37.474771, 126.915230 
111,바우뫼로39길, 37.478050, 127.038513 
113,방배로18길, 37.488017, 126.993349 
114,방울내로9안길, 37.559920, 126.902754 
115,방학로10길, 37.662534, 127.034583 
116,방화대로21길, 37.565178, 126.816568 
117,백범로16길, 37.545766, 126.946785 
118,백석동길, 37.592999, 126.965773 
121,법원단지9길, 37.475168, 126.921922 
125,복은길, 37.474573, 126.938675 
128,봉천로13길, 37.482682, 126.946416 
129,봉화산로30길, 37.603791, 127.089621 
132,북촌로11길, 37.581891, 126.984973 
133,불광천길, 37.592104, 126.914768 
135,사근동길, 37.560837, 127.045877 
138,사평대로22길, 37.497617, 126.997637 
141,삼성로115길, 37.506666, 127.056594 
142,삼양로144길, 37.607129, 127.023690 
143,삼일대로4길, 37.575079, 126.986873 
144,삼전로13길, 37.504286, 127.088044 
145,삼청로5길, 37.583310, 126.981769 
146,상계로12길, 37.660508, 127.072894 
149,상원12길, 37.550616, 127.049718 
152,서달로10길, 37.504878, 126.962422 
153,서림7길, 37.473243, 126.941079 
154,서빙고로71길, 37.523281, 126.995798 
156,서울숲2길, 37.547990, 127.041960 
157,서초대로15길, 37.488897, 126.988919 
158,석계로1길, 37.623032, 127.060972 
159,선릉로121길, 37.504545, 127.048636 
160,선유로55길, 37.536087, 126.897926 
163,성대로1길, 37.497767, 126.935900 
164,성덕정17길, 37.537815, 127.055303 
170,성지3길, 37.548393, 126.915891 
171,세검정로1길, 37.609442, 126.974288 
172,세무서2길, 37.588632, 126.947410 
173,소담길, 37.547369, 126.953695 
178,송정12라길, 37.550958, 127.068041 
179,송파대로30길, 37.494798, 127.119144 
182,숭문8길, 37.549501, 126.947944 
183,숭인동길, 37.577171, 127.022024 
184,승방길, 37.473177, 126.979371 
