No,add_total,위도,경도,한글id
1,가로공원로58길,37.533058,126.824774,가로
2,가마산로61길,128.0036459,37.49306807,가마
3,가산로3길,126.9023775,37.47074393,가산
4,가재울로6길,126.921411,37.577742,가재
5,가좌로7길,37.585974,126.918996,가좌
6,갈현로1길,126.9098529,37.59810723,갈현
7,강남대로118길,37.507146,127.026463,강남
8,강동대로53길,127.132565,37.525915,강동
9,강서로15길,37.532104,126.842198,강서
10,개봉로11길,126.8560469,37.48665731,개봉
11,개운사길,37.588245,127.029257,개운
12,개포로17길,37.479667,127.04653,개포
13,개화동로23길,126.811432,37.564826,개화
14,거마로20길,127.146458,37.497978,거마
15,겸재로29길,37.590097,127.085492,겸재
16,경인로15길,126.822523,37.49042676,경인
17,경희대로3길,127.0521448,37.59199423,경희
18,계동길,37.579137,126.986718,계동
19,고덕로10길,37.552988,127.129738,고덕
20,고무래로8길,127.010028,37.50365794,고무
21,고산자로6길,37.557521,127.035104,고산
22,고척로21나길,126.8396842,37.49664186,고척
23,곰달래로10길,126.8338957,37.52965506,곰달
24,공릉로12가길,127.0777932,37.61170879,공릉
25,공원로6가길,37.503524,126.889889,공원
26,공항대로38길,126.8119924,37.56059427,공항
27,관악로10길,37.477356,126.955074,관악
28,관천로15길,126.9286753,37.48137818,관천
29,광나루로12길,37.54715,127.067735,광나
30,광성로6길,37.547884,126.939473,광성
31,구로동로15길,37.487803,126.88206,구로
32,구암길,37.491787,126.946907,구암
33,구천면로36길,127.131727,37.543091,구천
34,국사봉1길,37.499237,126.931066,국사
35,국회단지길,37.486749,126.939445,국회
36,금하로14길,126.903913,37.453508,금하
37,금호산2길,37.548812,127.021255,금호
38,긴고랑로20길,127.0786272,37.56339164,긴고
39,길음로7길,127.0239905,37.60416485,길음
40,까치산로4길,126.841889,37.5405025,까치
41,낙성대역길,37.476386,126.961649,낙성
42,난계로11길,37.566397,127.022129,난계
43,난곡로24길,126.920033,37.46984,난곡
44,난우길,37.473519,126.918904,난우
45,난향길,37.462837,126.918267,난향
46,남부순환로112길,126.895573,37.478376,남부
47,남부순환로88길,37.511827,126.840417,남부
48,남현2길,37.475893,126.977365,남현
49,노량진로6길,37.513153,126.935833,노량
50,노해로17길,127.0226551,37.63705161,노해
51,녹사평대로11길,37.522204,126.993485,녹사
52,논현로106길,127.035229,37.506312,논현
53,능동로13길,127.070663,37.539947,능동
54,다산로33길,37.562451,127.014904,다산
55,답십리로23길,37.572865,127.057485,답십
56,당곡길,37.490906,126.928611,당곡
57,당산로31길,126.896197,37.524033,당산
58,대림로22길,126.910744,37.48731117,대림
59,대방동27길,126.920364,37.499998,대방
60,대사관로34길,127.0018326,37.53342012,대사
61,대학14길,37.468536,126.937675,대학
62,대흥로21길,126.945771,37.556569,대흥
63,덕릉로40길,127.0180438,37.63404944,덕릉
64,도곡로37길,37.496323,127.052963,도곡
65,도당로13가길,127.0343345,37.65959564,도당
66,도림로112길,37.502876,126.900372,도림
67,도봉로109길,127.0288197,37.61872738,도봉
68,도산대로15길,127.019537,37.516375,도산
69,도신로15길,37.508184,126.904723,도신
70,도화4길,37.540629,126.949044,도화
71,독립문로8길,37.56961,126.96106,독립
72,독막로22길,126.915792,37.54823391,독막
73,독산로108길,126.901454,37.485051,독산
74,돈화문로11가길,126.9920386,37.56960931,돈화
75,돌곶이로14길,37.611574,127.056107,돌곶
76,동광로12길,126.991562,37.572668,동광
77,동교로17길,126.914775,37.555957,동교
78,동남로20길,127.132496,37.497241,동남
79,동산로10길,127.039157,37.469672,동산
80,동소문로13길,127.0076148,37.5892447,동소
81,동일로100길,37.654307,127.060636,동일
82,동작대로17길,37.492698,126.982644,동작
83,동호로10길,127.01066,37.554749,동호
84,두텁바위로1길,37.545921,126.978687,두텁
85,둘레9길,37.535879,127.053448,둘레
86,등용로14길,126.9371065,37.50531928,등용
87,등촌로13길,37.543685,126.862296,등촌
88,디지털로27길,126.8705543,37.47410976,디지
