"","seoul_attractions","lon","lat","address"
"1","경복궁",126.977041,37.579617,"161 sajik-ro, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"2","N서울타워",126.9882266,37.5511694,"105 namsangongwon-gil, yongsan 2(i)ga-dong, yongsan-gu, seoul, south korea"
"3","명동",126.9858296,37.55998,"myeong-dong, jung-gu, seoul, south korea"
"4","북촌 한옥마을",126.9836531,37.5824075,"south korea, seoul, jongno-gu, gahoe-dong, 계동길 37"
"5","창덕궁",126.9910426,37.5794309,"99 yulgok-ro, waryong-dong, jongno-gu, seoul, south korea"
"6","인사동",126.9862326,37.5716555,"insa-dong, jongno-gu, seoul, south korea"
"7","청계천",127.0246275,37.5713521,"cheonggyecheon-ro, sinseol-dong, jongno-gu, seoul, south korea"
"8","롯데월드",127.098167,37.5111158,"240 olympic-ro, jamsil 3(sam)-dong, songpa-gu, seoul, south korea"
"9","남산",126.9809696,37.5537586,"namsan, hoehyeon-dong, seoul"
"10","남대문시장",126.9776692,37.5591786,"21 namdaemunsijang 4-gil, hoehyeon-dong, jung-gu, seoul, south korea"
"11","덕수궁",126.9751461,37.5658049,"99 sejong-daero, jeong-dong, jung-gu, seoul, south korea"
"12","동대문시장",127.0078389,37.5703603,"euljiro 6(yuk)-ga, jung-gu, seoul, south korea"
"13","동대문 디자인 플라자",127.009506,37.566725,"281 eulji-ro, euljiro 7(chil)-ga, jung-gu, seoul, south korea"
"14","광화문",126.9768157,37.5759369,"161 sajik-ro, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"15","종묘",126.994143,37.574583,"157 jong-ro, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"16","롯데월드타워",127.1027322,37.5129907,"300 olympic-ro, sincheon-dong, songpa-gu, seoul, south korea"
"17","숭례문",126.975302,37.5599526,"40 sejong-daero, namdaemunno 4(sa)-ga, jung-gu, seoul, south korea"
"18","스타필드 코엑스몰",127.0593394,37.511685,"513 yeongdong-daero, samseong-dong, gangnam-gu, seoul, south korea"
"19","창경궁",126.9948698,37.5787708,"185 changgyeonggung-ro, waryong-dong, jongno-gu, seoul, south korea"
"20","국립민속박물관",126.9789948,37.5816456,"37 samcheong-ro, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"21","국립중앙박물관",126.9804702,37.5238506,"137 seobinggo-ro, seobinggo-dong, yongsan-gu, 서울특별시 south korea"
"22","북한산국립공원",126.993333,37.660833,"bukhansan, ui-dong, seoul"
"23","광화문 광장",126.976775,37.5740339,"172 sejong-daero, sejongno, jongno-gu, seoul, south korea"
"24","전쟁기념관",126.9771397,37.5366059,"29 itaewon-ro, namyeong-dong, yongsan-gu, seoul, south korea"
"25","반포대교",126.9960697,37.5156865,"banpo bridge, banpo-dong, seoul, south korea"
"26","동대문",127.0095452,37.5711389,"288 jong-ro, jongno 6(yuk)-ga, jongno-gu, seoul, south korea"
"27","63빌딩",126.9402103,37.5193776,"50 63-ro, yeoeuido-dong, yeongdeungpo-gu, seoul, south korea"
"28","한양도성",127.0084459,37.5779633,"622-83 changsin-dong, jongno-gu, seoul, south korea"
"29","여의도",126.9326803,37.5295808,"서울특별시 여의도동 yeouido"
"30","북한산",126.993333,37.660833,"bukhansan, ui-dong, seoul"
"31","봉은사",127.0573766,37.514852,"531 bongeunsa-ro, samseong-dong, gangnam-gu, seoul, south korea"
"32","올림픽공원",127.1214941,37.5206868,"olympic park, 424 olympic-ro, bangi-dong, songpa-gu, seoul, south korea"
"33","신사동 가로수길",127.0229273,37.5205636,"sinsa-dong, gangnam-gu, seoul, south korea"
"34","서울대공원",127.0170252,37.4275247,"102 daegongwongwangjang-ro, munwon-dong, gwacheon-si, gyeonggi-do, south korea"
"35","서울숲공원",127.0374424,37.5443878,"seoul forest, 273 ttukseom-ro, seongsu-dong 1(il)-ga, seongdong-gu, seoul, south korea"
"36","여의도 한강공원",126.9343012,37.5284017,"yeouido hangang park, 330 yeouidong-ro, yeoeuido-dong, yeongdeungpo-gu, seoul, south korea"
"37","남한산성",127.1858942,37.4771685,"763-58 namhansanseong-ro, jungbu-myeon, gwangju-si, gyeonggi-do, south korea"
"38","광장시장",126.9993404,37.5701527,"88 changgyeonggung-ro, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"39","서울랜드",127.0201267,37.4341563,"181 gwangmyeong-ro, munwon-dong, gwacheon-si, gyeonggi-do, south korea"
"40","압구정동",127.0302926,37.531684,"apgujeong-dong, gangnam-gu, seoul, south korea"
"41","노량진수산시장",126.9408624,37.5152131,"674 nodeul-ro, noryangjin 1(il)-dong, dongjak-gu, 서울특별시 south korea"
"42","남산골한옥마을",126.994477,37.559315,"28 toegye-ro 34-gil, pil-dong, jung-gu, seoul, south korea"
"43","삼성미술관 리움",126.998579,37.538122,"60-16 itaewon-ro 55-gil, hannam-dong, yongsan-gu, seoul, south korea"
"44","경희궁",126.9681688,37.5712378,"45 saemunan-ro, sajik-dong, jongno-gu, seoul, south korea"
"45","청와대",126.974811,37.5866076,"1 sejongno, jongno-gu, seoul, south korea"
"46","인왕산",126.9593042,37.5849489,"inwangsan, cheongunhyoja-dong, seoul"
"47","서울 트릭아이뮤지엄",126.9217263,37.5535655,"20 hongik-ro 3-gil, seogyo-dong, mapo-gu, seoul, south korea"
"48","한강공원",126.9779692,37.566535,"hangang park, myeong-dong, seoul, south korea"
"49","롯데월드타워 아쿠아리움",127.1050225,37.5134998,"south korea, seoul songpa-gu 신천동"
"50","이화 벽화마을",127.0071915,37.5779788,"49 naksan 4-gil, ihwa-dong, jongno-gu, seoul, south korea"
"51","국립고궁박물관",126.9750965,37.5765793,"12 hyoja-ro, cheongunhyoja-dong, jongno-gu, seoul, south korea"
"52","명동대성당",126.9873604,37.563177,"74 myeongdong-gil, jeodong 1(il)-ga, jung-gu, seoul, south korea"
"53","서대문형무소역사관",126.956071,37.574271,"251 tongil-ro, hyeonjeo-dong, seodaemun-gu, seoul, south korea"
"54","서울특별시청",126.9779451,37.5662952,"110 sejong-daero, myeong-dong, jung-gu, seoul, south korea"
"55","국립현대미술관 서울관",126.9803691,37.5794091,"30 samcheong-ro, samcheong-dong, jongno-gu, seoul, south korea"
"56","선정릉",127.0522301,37.5070029,"1 seolleung-ro 100-gil, samseong-dong, gangnam-gu, seoul, south korea"
"57","운현궁",126.987052,37.576034,"464 samil-daero, unni-dong, jongno-gu, seoul, south korea"
"58","서울로 7017",126.9752311,37.5565311,"seoullo 7017, 18 toegye-ro, hoehyeon-dong, jung-gu, seoul, south korea"
"59","관악산",126.9610024,37.4429385,"gwanaksan, jungang-dong, gwacheon-si"
"60","신촌동",126.9435838,37.5594793,"sinchon-dong, seodaemun-gu, seoul, south korea"
"61","세빛섬",126.9947194,37.5116807,"서울특별시 반포동 세빛둥둥섬"
"62","여의도공원",126.918916,37.523816,"yeouido park, 68 yeouigongwon-ro, yeoeuido-dong, yeongdeungpo-gu, seoul, south korea"
"63","코엑스 아쿠아리움",127.0582827,37.513131,"513 yeongdong-daero, samseong-dong, gangnam-gu, 서울특별시 south korea"
"64","대학로",127.0020331,37.5769696,"daehak-ro, jongno-gu, seoul, south korea"
"65","뮤지엄김치간",126.984875,37.573575,"35-4 insadong-gil, gwanhun-dong, jongno-gu, seoul, south korea"
"66","낙산공원",127.0074835,37.5806571,"naksan park, 41 naksan-gil, ihwa-dong, jongno-gu, seoul, south korea"
"67","서울역사박물관",126.9705674,37.5704837,"55 saemunan-ro, sajik-dong, jongno-gu, seoul, south korea"
"68","근정전",126.9769845,37.5785225,"37 samcheong-ro, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"69","별마당 도서관",127.0602751,37.5099631,"955-9 daechi-dong, gangnam-gu, seoul, south korea"
"70","도봉산",127.0156843,37.7004635,"dobongsan, dobong-dong, seoul"
"71","탑골공원",126.9883295,37.5711455,"tapgol park, 99 jong-ro, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"72","창덕궁 후원",126.9929781,37.5823645,"secret garden, myeongnyun 3(sam)ga, jongno-gu, seoul, south korea"
"73","서울광장",126.9780251,37.5655906,"110 sejong-daero, euljiro 1(il)-ga, jung-gu, seoul, south korea"
"74","삼청동길",126.981913,37.5837896,"samcheong-dong, jongno-gu, seoul, south korea"
"75","광명동굴",126.8664843,37.4264944,"142 gahak-ro 85(palsibo)beon-gil, hagon-dong, gwangmyeong-si, gyeonggi-do, south korea"
