"","trdar_cd_nm","long","lat"
"1","계동길",37.579137,126.986718
"2","난계로27길",37.566397,127.022129
"3","돈화문로11가길",37.56960931,126.9920386
"4","명륜길",37.588741,126.995117
"5","백석동길",37.592999,126.965773
"6","북촌로11길",37.581891,126.984973
"7","북촌로5길",37.581891,126.984973
"8","북촌로5나길",37.581891,126.984973
"9","삼청로5길",37.58331,126.981769
"10","성균관로5길",37.58348026,126.9981814
"11","숭인동길",37.577171,127.022024
"12","옥인길",37.581492,126.965683
"13","율곡로10길",37.5759,126.99815
"14","율곡로16길",37.5759,126.99815
"15","이화장길",37.57722,127.004468
"16","자하문로7길",37.5767128,126.9722056
"17","종로24길",37.57103,127.001791
"18","종로58가길",37.57103,127.001791
"19","종로65길",37.57103,127.001791
"20","지봉로8길",37.571899,127.0159788
"21","창경궁로35길",37.56559334,126.9979752
"22","창신2길",37.571675,127.011287
"23","창신5길",37.571675,127.011287
"24","창신길",37.571675,127.011287
"25","통일로12길",37.565065,126.965662
"26","평창길",37.608705,126.973004
"27","필운대로1길",37.581461,126.968471
"28","난계로11길",37.566397,127.022129
"29","난계로21길",37.566397,127.022129
"30","다산로33길",37.562451,127.014904
"31","다산로36길",37.562451,127.014904
"32","다산로38길",37.562451,127.014904
"33","다산로39길",37.562451,127.014904
"34","동호로10길",37.554749,127.01066
"35","동호로11길",37.554749,127.01066
"36","동호로15길",37.554749,127.01066
"37","동호로20길",37.554749,127.01066
"38","동호로8길",37.554749,127.01066
"39","명동길",37.563822,126.98503
"40","삼일대로4길",37.575079,126.986873
"41","장충단로8길",37.562302,127.008345
"42","청구로17길",37.560127,127.013705
"43","청구로1길",37.560127,127.013705
"44","퇴계로12길",37.557079,126.981478
"45","퇴계로18길",37.557079,126.981478
"46","퇴계로46길",37.557079,126.981478
"47","퇴계로56길",37.557079,126.981478
"48","퇴계로8길",37.557079,126.981478
"49","퇴계로90길",37.557079,126.981478
"50","녹사평대로11길",37.522204,126.993485
"51","녹사평대로26길",37.522204,126.993485
"52","녹사평대로32길",37.522204,126.993485
"53","녹사평대로40나길",37.522204,126.993485
"54","녹사평대로46길",37.522204,126.993485
"55","대사관로34길",37.53342012,127.0018326
"56","두텁바위로1길",37.545921,126.978687
"57","백범로79길",37.545766,126.946785
"58","백범로90길",37.545766,126.946785
"59","서빙고로71길",37.523281,126.995798
"60","소월로20길",37.55786287,126.9756284
"61","신흥로20길",37.546382,126.984901
"62","우사단로10길",37.53115223,126.9967963
"63","우사단로14길",37.53115223,126.9967963
"64","우사단로4길",37.53115223,126.9967963
"65","원효로19길",37.532873,126.951391
"66","원효로41길",37.532873,126.951391
"67","원효로53길",37.532873,126.951391
"68","원효로89길",37.532873,126.951391
"69","이촌로22길",37.52972162,126.9537514
"70","이태원로27길",37.534538,126.995571
"71","이태원로54길",37.534538,126.995571
"72","장문로45길",37.52745968,126.9953845
"73","청파로47길",37.538811,126.961706
"74","청파로47나길",37.538811,126.961706
"75","청파로71길",37.538811,126.961706
"76","청파로73길",37.538811,126.961706
"77","한강대로104길",37.534953,126.973142
"78","한강대로15길",37.534953,126.973142
"79","한강대로43길",37.534953,126.973142
"80","한강대로52길",37.534953,126.973142
"81","한강대로62길",37.534953,126.973142
"82","한강대로7길",37.534953,126.973142
"83","한강대로88길",37.534953,126.973142
"84","한남대로20길",37.538188,127.004339
"85","회나무로13길",37.53885481,126.9882756
"86","효창원로39길",37.53549743,126.953606
"87","후암로28길",37.54852081,126.9780025
"88","고산자로6길",37.557521,127.035104
"89","금호산2길",37.548812,127.021255
"90","금호산길",37.548812,127.021255
"91","둘레9길",37.535879,127.053448
"92","뚝섬로5길",37.54145,127.045675
"93","마장로27길",37.561073,127.038804
"94","마장로39길",37.561073,127.038804
"95","마조로16길",37.56661,127.043836
"96","마조로1길",37.56661,127.043836
"97","매봉길",37.545097,127.01608
"98","무수막길",37.55096,127.023041
"99","무학로6길",37.570827,127.030452
"100","무학봉28길",37.570827,127.030452
"101","무학봉길",37.570827,127.030452
"102","사근동길",37.560837,127.045877
"103","상원12길",37.550616,127.049718
"104","상원길",37.550616,127.049718
"105","서울숲2길",37.54799,127.04196
"106","성덕정17길",37.537815,127.055303
"107","성덕정길",37.537815,127.055303
"108","성수이로18길",37.53684035,127.0541395
"109","성수이로7길",37.53684035,127.0541395
"110","성수일로6길",37.53684035,127.0541395
"111","송정12라길",37.550958,127.068041
"112","송정4가길",37.550958,127.068041
"113","아차산로11길",37.545035,127.104117
"114","아차산로15길",37.545035,127.104117
"115","아차산로5길",37.545035,127.104117
"116","왕십리로14길",37.560758,127.038703
"117","왕십리로21길",37.560758,127.038703
"118","왕십리로26길",37.560758,127.038703
"119","왕십리로31길",37.560758,127.038703
"120","왕십리로6길",37.560758,127.038703
"121","용답29길",37.563744,127.052805
"122","용답중앙길",37.563744,127.052805
"123","장터길",37.548354,127.018706
"124","청계천로10나길",37.570231,127.036929
"125","한림말3길",37.542353,127.015849
"126","한림말길",37.542353,127.015849
"127","광나루로12길",37.54715,127.067735
"128","광나루로24길",37.54715,127.067735
"129","광나루로36길",37.54715,127.067735
"130","광나루로37길",37.54715,127.067735
"131","광나루로40길",37.54715,127.067735
"132","광나루로52길",37.54715,127.067735
"133","긴고랑로20길",37.56339164,127.0786272
"134","긴고랑로7길",37.56339164,127.0786272
"135","긴고랑로8길",37.56339164,127.0786272
"136","긴고랑로9길",37.56339164,127.0786272
"137","능동로13길",37.539947,127.070663
"138","능동로19길",37.539947,127.070663
"139","능동로34길",37.539947,127.070663
"140","능동로3길",37.539947,127.070663
"141","능동로4길",37.539947,127.070663
"142","동일로18길",37.654307,127.060636
"143","동일로24길",37.654307,127.060636
"144","뚝섬로23길",37.54145,127.045675
"145","뚝섬로24길",37.54145,127.045675
"146","뚝섬로48길",37.54145,127.045675
"147","뚝섬로54길",37.54145,127.045675
"148","뚝섬로58길",37.54145,127.045675
"149","뚝섬로64길",37.54145,127.045675
"150","면목로17길",37.55569307,127.0754976
"151","아차산로40길",37.545035,127.104117
"152","아차산로51길",37.545035,127.104117
"153","아차산로55길",37.545035,127.104117
"154","아차산로65길",37.545035,127.104117
"155","아차산로78길",37.545035,127.104117
"156","용마산로21길",37.5626168,127.0873197
"157","용마산로3길",37.5626168,127.0873197
"158","자양로11길",37.537113,127.082396
"159","자양로15길",37.537113,127.082396
"160","자양로26길",37.537113,127.082396
"161","자양로45길",37.537113,127.082396
"162","자양로50길",37.537113,127.082396
"163","자양로53길",37.537113,127.082396
"164","자양번영로3길",37.537113,127.082396
"165","천호대로109길",37.557258,127.079432
"166","천호대로123길",37.557258,127.079432
"167","천호대로129길",37.557258,127.079432
"168","경희대로3길",37.59199423,127.0521448
"169","경희대로4길",37.59199423,127.0521448
"170","난계로30길",37.566397,127.022129
"171","답십리로23길",37.572865,127.057485
"172","답십리로56길",37.572865,127.057485
"173","답십리로60길",37.572865,127.057485
"174","답십리로63길",37.572865,127.057485
"175","답십리로64길",37.572865,127.057485
"176","답십리로68길",37.572865,127.057485
"177","답십리로69길",37.572865,127.057485
"178","답십리로72길",37.572865,127.057485
"179","망우로18가길",37.58782697,127.0558
"180","망우로18길",37.58782697,127.0558
"181","망우로21길",37.58782697,127.0558
"182","무학로16길",37.570827,127.030452
"183","무학로45길",37.570827,127.030452
"184","사가정로13길",37.57832,127.058119
"185","사가정로23가길",37.57832,127.058119
"186","사가정로2길",37.57832,127.058119
"187","서울시립대로16길",37.54799,127.04196
"188","서울시립대로29길",37.54799,127.04196
"189","서울시립대로4길",37.54799,127.04196
"190","약령시로17길",37.582826,127.037219
"191","왕산로32길",37.579937,127.044836
"192","왕산로33길",37.579937,127.044836
"193","왕산로43길",37.579937,127.044836
"194","이문로42길",37.59107241,127.0568703
"195","장한로14길",37.5626093,127.0657533
"196","장한로25길",37.5626093,127.0657533
"197","장한로26가길",37.5626093,127.0657533
"198","장한로26길",37.5626093,127.0657533
"199","장한로27가길",37.5626093,127.0657533
"200","장한로27길",37.5626093,127.0657533
"201","장한로5길",37.5626093,127.0657533
"202","장한로8길",37.5626093,127.0657533
"203","전농로29길",37.579644,127.050443
"204","전농로3길",37.579644,127.050443
"205","전농로4길",37.579644,127.050443
"206","제기로21길",37.58690548,127.0353505
