num,trdar_cd_nm,lon,lat
1,계동길,126.9867284,37.5809421
2,난계로27길,127.0208344,37.5729076
3,돈화문로11가길,126.9903073,37.5749095
4,명륜길,126.9945216,37.5891354
5,백석동길,126.9670279,37.5953856
6,북촌로11길,126.9838361,37.5831553
7,북촌로5길,126.9836008,37.5795376
8,북촌로5나길,126.9823805,37.5830559
9,삼청로5길,126.9806183,37.5828725
10,성균관로5길,126.9944935,37.5858405
11,숭인동길,127.021663,37.5766848
12,옥인길,126.9662052,37.5812744
13,율곡로10길,126.9915784,37.5748384
14,율곡로16길,127.0036386,37.5750303
15,이화장길,127.004551,37.5782063
16,자하문로7길,126.9699973,37.5792054
17,종로24길,126.9942111,37.5696847
18,종로58가길,127.0172378,37.5727236
19,종로65길,127.0199606,37.575677
20,지봉로8길,127.0162363,37.5759871
21,창경궁로35길,127.0024965,37.5877012
22,창신2길,127.0099958,37.5728115
23,창신5길,127.0123357,37.5744687
24,창신길,127.0103231,37.5751475
25,통일로12길,126.9612332,37.5745611
26,평창길,126.9704556,37.6105415
27,필운대로1길,126.9679917,37.5778275
28,난계로11길,127.0222895,37.5665867
29,난계로21길,127.0216664,37.570083
30,다산로33길,127.0123033,37.5633821
31,다산로36길,127.0184523,37.5608659
32,다산로38길,127.0070317,37.5481325
33,다산로39길,127.01342,37.5642701
34,동호로10길,127.0126794,37.5552361
35,동호로11길,127.0081486,37.5523781
36,동호로15길,127.0079958,37.5545835
37,동호로20길,127.0095093,37.5600193
38,동호로8길,127.0138608,37.5534974
39,명동길,126.9848959,37.5636048
40,삼일대로4길,126.9898736,37.5620069
41,장충단로8길,127.0087292,37.5622737
42,청구로17길,127.0114813,37.5595243
43,청구로1길,127.0163419,37.5576377
44,퇴계로12길,126.9815898,37.55724
45,퇴계로18길,126.9847835,37.5588865
46,퇴계로46길,126.9782047,37.5575727
47,퇴계로56길,127.0056361,37.5623827
48,퇴계로8길,126.9801569,37.5572997
49,퇴계로90길,127.022044,37.5633744
50,녹사평대로11길,126.99317,37.5221978
51,녹사평대로26길,126.9931554,37.5313169
52,녹사평대로32길,126.9904918,37.5328424
53,녹사평대로40나길,126.988913,37.5364348
54,녹사평대로46길,126.9889937,37.5374041
55,대사관로34길,127.0057683,37.5312026
56,두텁바위로1길,126.9754246,37.5476149
57,백범로79길,126.9645332,37.5412058
58,백범로90길,126.969245,37.5374207
59,서빙고로71길,126.9956626,37.5223526
60,소월로20길,126.9847998,37.5448662
61,신흥로20길,126.9843197,37.5468614
62,우사단로10길,127.000631,37.5315717
63,우사단로14길,126.997323,37.534102
64,우사단로4길,126.9991016,37.5312638
65,원효로19길,126.9540073,37.5333071
66,원효로41길,126.959382,37.5353044
67,원효로53길,126.9619955,37.5372549
68,원효로89길,126.9682014,37.5408775
69,이촌로22길,126.9561089,37.5251695
70,이태원로27길,126.9938734,37.5358037
71,이태원로54길,127.0013586,37.53629
72,장문로45길,127.0013464,37.5289569
73,청파로47길,126.9674,37.544911
74,청파로47나길,126.9679413,37.5475006
75,청파로71길,126.9668779,37.5494076
76,청파로73길,126.9678724,37.5507331
77,한강대로104길,126.9755461,37.5502057
78,한강대로15길,126.9631201,37.5259317
79,한강대로43길,126.9694184,37.5316536
80,한강대로52길,126.9725545,37.5319872
81,한강대로62길,126.9737422,37.5325878
82,한강대로7길,126.961813,37.5247663
83,한강대로88길,126.9730098,37.5445253
84,한남대로20길,127.0093765,37.5352372
85,회나무로13길,126.9901812,37.5408156
86,효창원로39길,126.9535992,37.5354593
87,후암로28길,126.9802837,37.5491519
88,고산자로6길,127.0352218,37.5573714
89,금호산2길,127.0232541,37.5486328
90,금호산길,127.0193581,37.5508028
91,둘레9길,127.0506583,37.5370939
92,뚝섬로5길,127.0509952,37.5420538
93,마장로27길,127.0344233,37.5670846
94,마장로39길,127.0429473,37.567632
95,마조로16길,127.0430384,37.5644626
96,마조로1길,127.039547,37.5606754
97,매봉길,127.0142975,37.5465935
98,무수막길,127.0227953,37.5511116
99,무학로6길,127.033126,37.565077
100,무학봉28길,127.0335792,37.5617126
101,무학봉길,127.0281856,37.5607632
102,사근동길,127.045489,37.5603172
103,상원12길,127.0496202,37.55037
104,상원길,127.0482514,37.5485056
105,서울숲2길,127.0410318,37.5469608
106,성덕정17길,127.0553511,37.5378048
107,성덕정길,127.0521792,37.5380919
108,성수이로18길,127.05947,37.5420022
109,성수이로7길,127.0540282,37.5414146
110,성수일로6길,127.0532983,37.5446373
111,송정12라길,127.067966,37.5508793
112,송정4가길,127.0666616,37.5513578
113,아차산로11길,127.0598925,37.5456625
114,아차산로15길,127.0630048,37.5452966
115,아차산로5길,127.0532253,37.5475038
116,왕십리로14길,127.0461635,37.5486629
117,왕십리로21길,127.0309134,37.5598586
118,왕십리로26길,127.0329317,37.5643747
119,왕십리로31길,127.027756,37.5633966
120,왕십리로6길,127.046906,37.545465
121,용답29길,127.0530755,37.5651362
122,용답중앙길,127.0517346,37.5653197
123,장터길,127.0189969,37.5482647
124,청계천로10나길,127.0357912,37.569931
125,한림말3길,127.0157064,37.5429739
126,한림말길,127.0148708,37.5409153
127,광나루로12길,127.0677893,37.5471503
128,광나루로24길,127.0776739,37.5451489
129,광나루로36길,127.0865597,37.5434584
130,광나루로37길,127.0884233,37.5459531
131,광나루로40길,127.0890568,37.5429819
132,광나루로52길,127.0927177,37.5402039
133,긴고랑로20길,127.0828201,37.5593033
134,긴고랑로7길,127.0802683,37.5654878
135,긴고랑로8길,127.0783259,37.561912
136,긴고랑로9길,127.0815044,37.5649509
137,능동로13길,127.0696518,37.5444143
138,능동로19길,127.071806,37.5471414
139,능동로34길,127.084026,37.5539409
140,능동로3길,127.0649879,37.5339857
141,능동로4길,127.0701616,37.5319771
142,동일로18길,127.0666523,37.5388474
143,동일로24길,127.0683362,37.542888
144,뚝섬로23길,127.0661825,37.537359
145,뚝섬로24길,127.0630202,37.5345575
146,뚝섬로48길,127.0771561,37.5310519
147,뚝섬로54길,127.0802619,37.5299395
148,뚝섬로58길,127.0843932,37.5301766
149,뚝섬로64길,127.0891378,37.5318075
150,면목로17길,127.0754847,37.5556443
151,아차산로40길,127.0780099,37.5358632
152,아차산로51길,127.0850152,37.5394953
153,아차산로55길,127.0866272,37.5397202
154,아차산로65길,127.0929705,37.5416863
155,아차산로78길,127.1094608,37.5496516
156,용마산로21길,127.0879343,37.5555655
157,용마산로3길,127.0853211,37.5564618
158,자양로11길,127.0823753,37.5338741
159,자양로15길,127.0802384,37.5349614
160,자양로26길,127.087492,37.540806
161,자양로45길,127.09063,37.5537689
162,자양로50길,127.0944939,37.5523239
163,자양로53길,127.0919297,37.5551143
164,자양번영로3길,127.0737261,37.5322094
165,천호대로109길,127.0821282,37.559215
166,천호대로123길,127.0864195,37.557823
167,천호대로129길,127.0914432,37.5534865
168,경희대로3길,127.0508422,37.5934681
169,경희대로4길,127.0551428,37.5916824
170,난계로30길,127.0254865,37.5734748
171,답십리로23길,127.0507775,37.578608
172,답십리로56길,127.05883,37.5696058
173,답십리로60길,127.0636324,37.569977
174,답십리로63길,127.0688895,37.5755771
175,답십리로64길,127.065729,37.5694402
176,답십리로68길,127.0678859,37.5689446
177,답십리로69길,127.0740178,37.5756875
178,답십리로72길,127.0726329,37.5687959
179,망우로18가길,127.0610712,37.5877933
180,망우로18길,127.0626289,37.5882421
181,망우로21길,127.0592473,37.5896388
182,무학로16길,127.0317835,37.5707587
183,무학로45길,127.0277012,37.5800485
184,사가정로13길,127.0587175,37.579611
185,사가정로23가길,127.0719208,37.5801334
186,사가정로2길,127.0535421,37.568972
187,서울시립대로16길,127.0537941,37.5788421
188,서울시립대로29길,127.0546755,37.5856394
189,서울시립대로4길,127.0494268,37.5737465
190,약령시로17길,127.0426382,37.5852293
191,왕산로32길,127.0410056,37.5769233
192,왕산로33길,127.0416586,37.5810391
193,왕산로43길,127.0477201,37.5845913
194,이문로42길,127.0649079,37.6007119
195,장한로14길,127.0710929,37.565524
196,장한로25길,127.0697823,37.5718916
197,장한로26가길,127.0701904,37.5683924
198,장한로26길,127.0736459,37.5715373
199,장한로27가길,127.0710694,37.5746492
200,장한로27길,127.0698574,37.5730939
201,장한로5길,127.0638107,37.5651616
202,장한로8길,127.0698078,37.5632898
203,전농로29길,127.0563604,37.5676076
204,전농로3길,127.0563532,37.5692225
205,전농로4길,127.0589609,37.5667457
206,제기로21길,127.0353432,37.5866406
207,제기로5길,127.0335668,37.5865369
208,천장산로7길,127.0556887,37.5985302
209,천호대로12길,127.024587,37.5746441
210,천호대로17길,127.0322796,37.575782
211,천호대로45길,127.0437626,37.5754908
212,천호대로77길,127.0630928,37.5652849
213,천호대로97길,127.0712923,37.56302
214,한천로14길,127.0643159,37.5670783
215,한천로33길,127.0671612,37.5770896
216,한천로40길,127.0688867,37.5777809
217,한천로46길,127.0720707,37.5814669
218,휘경로14길,127.0632929,37.5934519
219,휘경로23길,127.0657018,37.5956229
220,휘경로2길,127.0605123,37.5949699
221,휘경로3길,127.0635893,37.5976562
222,겸재로29길,127.0858042,37.5901794
223,겸재로36길,127.085775,37.5863872
224,겸재로54길,127.0917649,37.5862098
225,공릉로12가길,127.0819442,37.6172518
226,공릉로2길,127.0779894,37.6109923
227,답십리로75길,127.0809232,37.5743705
228,동일로100길,127.0818787,37.5893955
229,동일로101길,127.0761715,37.5886325
230,동일로112길,127.0834431,37.5933134
231,동일로123길,127.0765266,37.5985415
232,동일로130길,127.0825927,37.6001935
233,동일로139가길,127.0781412,37.6042345
234,동일로139길,127.0768776,37.6030811
235,동일로140길,127.0811019,37.6049285
236,동일로149길,127.0752812,37.6063533
237,동일로157길,127.0761756,37.6097359
238,동일로163길,127.0760553,37.6118501
239,망우로68길,127.1010552,37.5968837
240,망우로73길,127.1037918,37.6031299
241,면목로21길,127.0820424,37.5724004
242,면목로33길,127.0834822,37.576531
243,면목로45길,127.0866742,37.5819343
244,면목로48길,127.0905835,37.5820858
245,면목로49길,127.0857564,37.5829114
246,면목로55길,127.0858032,37.5843138
247,면목로56길,127.0910175,37.5838074
248,면목로78길,127.0903523,37.5907755
249,봉우재로33길,127.088409,37.5942987
250,봉화산로30길,127.0852079,37.5992809
251,봉화산로4길,127.07529,37.5994082
252,봉화산로56길,127.0979026,37.6043989
253,사가정로42길,127.0824743,37.5787398
254,사가정로54길,127.0874945,37.5789821
255,신내로7가길,127.0942105,37.6025976
256,용마산로100길,127.100697,37.590794
257,용마산로112길,127.1031192,37.5986122
258,용마산로118길,127.105908,37.6011222
259,용마산로94길,127.099017,37.5886208
260,중랑천로10길,127.0757101,37.5922053
261,길음로7길,127.0226004,37.6036883
262,돌곶이로14길,127.0613878,37.608624
263,돌곶이로22길,127.0604017,37.6101523
264,돌곶이로27길,127.0536588,37.6113382
265,돌곶이로28길,127.0610963,37.6070225
266,돌곶이로41길,127.0599191,37.6077808
267,돌곶이로8길,127.0636419,37.6069158
268,동소문로13길,127.0075191,37.5893626
269,동소문로15길,127.0144375,37.5939418
270,동소문로26가길,127.0216602,37.5946033
271,동소문로2길,127.0087616,37.5885622
272,동소문로6길,127.0080677,37.5884258
273,보국문로16길,127.0103108,37.6129005
274,보문로13길,127.0196542,37.5798653
275,보문로26길,127.0207861,37.5870959
276,보문로31길,127.0144816,37.5874488
277,보문로32길,127.0197479,37.5901028
278,삼선교로10길,127.0094957,37.5858498
279,삼선교로10다길,127.008679,37.5849979
280,삼선교로16가길,127.0116099,37.5844757
281,삼양로8길,127.0247112,37.6083037
282,성북로8길,127.0052663,37.5914423
283,솔샘로6길,127.0066862,37.6093665
284,아리랑로4길,127.0182492,37.5954656
285,안암로5길,127.023296,37.5812396
286,오패산로19길,127.0346286,37.609482
287,오패산로3길,127.0346516,37.6069192
288,오패산로4길,127.040091,37.6040349
289,인촌로17가길,127.0241197,37.5878983
290,인촌로1길,127.0185183,37.5877468
291,개운사길,127.02927,37.5881084
