"","lon","lat","address"
"1",126.9670279,37.5953856,"baekseokdong-gil, buam-dong, jongno-gu, seoul, south korea"
"2",127.0720707,37.5814669,"hancheon-ro 46-gil, dongdaemun-gu, seoul, south korea"
"3",127.021663,37.5766848,"sungindong-gil, sungin 2(i)-dong, jongno-gu, seoul, south korea"
"4",126.9662052,37.5812744,"ogin-gil, cheongunhyoja-dong, jongno-gu, seoul, south korea"
"5",126.9915784,37.5748384,"yulgok-ro 10-gil, jongno 1(il).2(i).3(sam).4(sa), jongno-gu, seoul, south korea"
"6",127.0123357,37.5744687,"changsin 5-gil, changsin-dong, jongno-gu, seoul, south korea"
"7",127.0103231,37.5751475,"changsin-gil, changsin-dong, jongno-gu, seoul, south korea"
"8",127.0081486,37.5523781,"dongho-ro 11-gil, sindang-dong, jung-gu, seoul, south korea"
"9",127.0079958,37.5545835,"dongho-ro 15-gil, sindang-dong, jung-gu, seoul, south korea"
"10",126.9956626,37.5223526,"seobinggo-ro 71-gil, dongbinggo-dong, yongsan-gu, seoul, south korea"
"11",126.9847998,37.5448662,"sowol-ro 20-gil, yongsan 2(i)ga-dong, yongsan-gu, seoul, south korea"
"12",126.9843197,37.5468614,"sinheung-ro 20-gil, yongsan-gu, seoul, south korea"
"13",126.9612332,37.5745611,"tongil-ro 12-gil, jongno-gu, seoul, south korea"
"14",127.0013586,37.53629,"itaewon-ro 54-gil, hannam-dong, yongsan-gu, seoul, south korea"
"15",127.0013464,37.5289569,"jangmun-ro 45-gil, bogwang-dong, yongsan-gu, seoul, south korea"
"16",127.0095093,37.5600193,"dongho-ro 20-gil, jung-gu, seoul, south korea"
"17",126.9730098,37.5445253,"hangang-daero 88-gil, namyeong-dong, yongsan-gu, seoul, south korea"
"18",127.0093765,37.5352372,"hannam-daero 20-gil, hannam-dong, yongsan-gu, seoul, south korea"
"19",127.0532983,37.5446373,"seongsuillo 6(yuk)-gil, seongsu 2(i)-ga 3(sam)-dong, seongdong-gu, seoul, south korea"
"20",127.067966,37.5508793,"songjeong 12(sibi)ra-gil, songjeong-dong, seongdong-gu, seoul, south korea"
"21",127.0666616,37.5513578,"songjeong 4(sa)ga-gil, songjeong-dong, seongdong-gu, seoul, south korea"
"22",126.9674,37.544911,"cheongpa-ro 47-gil, cheongpa-dong, yongsan-gu, seoul, south korea"
